rank,name,inst,vote,old,recent,no_files
110,Heiko Stuebner,464401,295083,94126,54305,20887
111,Patrick Matthäi,463783,55362,137769,28095,242557
112,Debian Bluetooth Maintainers,457282,239008,68076,58835,91363
113,Milan Kupcevic,456509,251665,158650,45711,483
114,أحمد المحمودي,455081,212231,92666,54901,95283
115,Debian Php Maintainers,451668,164242,90170,21250,176006
116,Debian Isc Dhcp Maintainers,451641,53374,162156,30773,205338
117,Debian R Packages Maintainers,451429,91923,291012,67664,830
118,Andrej Shadura,451207,267642,99414,58169,25982
119,Clint Adams,441854,189821,210674,41172,187
120,Michael Biebl,437254,331854,79512,18894,6994
121,Tomasz Buchert,432525,292484,73924,45604,20513
122,Debian Elfutils Maintainers,423155,235857,73641,44215,69442
123,Debian Lua Team,421488,67444,162619,24944,166481
124,Debian Remote Maintainers,418999,82338,136694,60836,139131
125,Manoj Srivastava,413057,195482,170330,31907,15338
126,Debian Apparmor Team,412228,260180,62497,38229,51322
127,Debian Libvirt Maintainers,411475,186575,143568,40327,41005
128,Robert Edmonds,406990,94411,166634,61032,84913
129,Hugh Mcmaster,399515,134671,109361,29064,126419
130,Gtkpod Maintainers,386152,296682,38121,50987,362
131,Reportbug Maintainers,384860,15846,309127,59076,811
132,Debian Efi Team,383220,98212,201352,83269,387
133,Debian Tcl/tk Packagers,380322,48756,279634,33624,18308
134,Mark Brown,370790,226962,71893,33535,38400
135,Nobuhiro Iwamatsu,369352,253576,59905,34889,20982
136,Jonathan Carter,358137,146676,81890,41764,87807
137,Debian Lxde Maintainers,356160,68339,188570,34891,64360
138,Parted Maintainer Team,355784,250122,48774,43918,12970
139,Debian Openssl Team,355258,248483,56550,42080,8145
140,Debian Sdl Packages Maintainers,353468,20512,75426,15317,242213
141,Christian Göttsche,352639,134538,128829,31392,57880
142,Magnus Holmgren,347098,255239,36651,33782,21426
143,Jeff Breidenbach,346660,182038,68761,49333,46528
144,Timo Aaltonen,345394,181429,80902,39755,43308
145,Rpm Packaging Team,342412,207081,86152,45906,3273
146,Debian Kde Extras Team,341858,92614,102357,40332,106555
147,Bastian Germann,341837,162245,84498,28395,66699
148,Debian Voip Team,337299,25556,59077,9025,243641
149,Jordi Mallach,336166,52584,236233,33581,13768
150,Don Armstrong,332495,58031,216792,48570,9102
151,Rob Browning,330555,67499,200643,44221,18192
152,Dirk Eddelbuettel,324143,36851,177660,46847,62785
153,Axel Beckert,323540,90197,134251,25761,73331
154,Ondřej Surý,321544,136920,92092,29672,62860
155,Gabriel F. T. Gomes,320692,64450,195512,44714,16016
156,Andreas Metzler,315337,216179,44875,23301,30982
157,Debian Qemu Team,313676,54087,117426,30707,111456
158,Julian Andres Klode,313464,127166,136881,49300,117
159,Lxqt Packaging Team,307163,37915,92111,36116,141021
160,Debian Security Tools,303791,40335,197838,18957,46661
161,Debian Openldap Maintainers,300902,57970,20677,15078,207177
162,Debian Med Packaging Team,300022,107049,88307,28060,76606
163,Alessio Treglia,299878,214471,43948,40815,644
164,Stefano Rivera,293216,133595,59115,60956,39550
165,Gregor Jasny,290348,16217,30894,7540,235697
166,Debian Libidn Team,284657,181821,59253,40497,3086
167,Giuseppe Sacco,279151,118786,118592,38647,3126
168,James Cowgill,276988,157060,11018,18082,90828
169,Debian Authentication Maintainers,275353,153937,15104,18510,87802
170,Maintainers Of Libpng1.6 Packages,261981,128413,74960,25461,33147
171,Noah Meyerhans,261923,54078,177218,30530,97
172,Debian Efi,259781,153755,12233,33697,60096
173,Faidon Liambotis,259256,59815,133433,58447,7561
174,Miquel Van Smoorenburg,259243,44171,182356,30251,2465
175,Debian Cryptsetup Team,255411,113671,24540,20071,97129
176,Vincent Bernat,255000,23627,46449,13555,171369
177,Eric Dorland,251663,127944,83271,22681,17767
178,Noël Köthe,248015,53000,163058,29948,2009
179,Thorsten Alteholz,247670,89888,115434,40079,2269
180,Romain Francoise,245915,35237,129678,10405,70595
181,Daniel Kahn Gillmor,242607,21490,30173,10406,180538
182,Yangfl,236486,11426,48100,13698,163262
183,Michael Meskes,235398,81670,126540,26973,215
184,Ian Wienand,233851,135578,35260,18276,44737
185,Debian Telepathy Maintainers,229065,71222,73376,18289,66178
186,Janos Lenart,226859,204311,4476,17660,412
187,Michael Stone,225541,197389,10024,18059,69
188,Debian Adduser Developers,225140,201491,5147,18461,41
189,Popularity Contest Developers,224885,195861,11003,17956,65
190,Debian Release Team,224792,194208,11571,18945,68
191,Georges Khaznadar,224301,19655,153014,28285,23347
192,Julien Cristau,223644,85445,108381,29768,50
193,Simó Albert I Beltran,222914,15230,179102,28506,76
194,Josué Ortega,221216,132696,67960,20485,75
195,Debian Nginx Maintainers,221114,140513,71158,3309,6134
196,Console Utilities Maintainers,218929,125059,73040,20763,67
197,Gioele Barabucci,217017,130486,64747,21682,102
198,Andres Salomon,215711,91528,100999,22854,330
199,Guido Günther,213846,61897,37302,16073,98574
200,Kees Cook,212870,189719,6045,16910,196
201,Adam Borowski,212563,81083,66396,6262,58822
202,Ron Lee,212315,117160,52769,30774,11612
203,Henrique De Moraes Holschuh,211107,47657,107762,55610,78
204,Debian Gnupg-maintainers,209224,163116,25999,16384,3725
205,Tim Rühsen,209187,147260,40745,20663,519
206,Bernd Zeimetz,206082,41449,90183,14938,59512
207,Michael Van Der Kolff,203786,101094,31927,18561,52204
208,Steve Mcintyre,201181,79551,56271,24228,41131
209,Sebastien Delafond,201175,39634,124183,37321,37
210,Lance Lin,198448,93577,24600,18425,61846
211,Ryan Kavanagh,197032,110931,68636,16875,590
212,Exim4 Maintainers,196236,161534,5897,3135,25670
213,The Ayatana Packagers,195735,76966,63191,32865,22713
214,Thomas Weber,195254,122350,34947,18156,19801
215,Ludovic Rousseau,194727,127090,34696,17229,15712
216,Javier Fernandez-sanguino Peña,194680,191,494,34,193961
217,Fathi Boudra,192927,7033,399,196,185299
218,Debian Python-debian Maintainers,190169,12148,148225,29747,49
219,Philippe Swartvagher,189983,115292,18497,22836,33358
220,Sudo Maintainers,188465,150448,20927,16788,302
221,Debian Postgresql Maintainers,187612,66833,32863,5373,82543
222,Lmdb,187383,71732,53349,26823,35479
223,Debian Php Pear Maintainers,186721,37318,133824,15240,339
224,Debian Krap Maintainers,185995,71188,62372,28017,24418
225,Bastian Venthur,185560,10181,146135,29196,48
226,Optical Media Tools Team,184283,54673,85357,18843,25410
227,Debian Openstack,183590,45883,103979,30757,2971
228,Debian Libburnia Packagers,181782,16203,76337,21223,68019
229,Debian Hebrew Packaging Team,177932,97038,38095,19442,23357
230,Richard Laager,172191,52752,96251,13698,9490
231,Debian Iot Maintainers,170307,77630,24828,25951,41898
232,Alberto Garcia,170295,23318,103362,39430,4185
233,Dominique Dumont,169960,32362,99427,33136,5035
